"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110787830","1.1.2.16.1","2050500","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110787830","1.1.2.16.1","2074400","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110787830","1.1.2.16.1","1906700","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110787830","1.1.2.16.1","1806400","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Percent","Percent","239","units","0","v110787833","1.1.2.16.4","14.4","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Percent","Percent","239","units","0","v110787833","1.1.2.16.4","13.6","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Percent","Percent","239","units","0","v110787833","1.1.2.16.4","13.6","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Percent","Percent","239","units","0","v110787833","1.1.2.16.4","12.3","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Percent","Percent","239","units","0","v110787833","1.1.2.16.4","11.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788005","1.1.3.15.1","2303800","","","","0"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788005","1.1.3.15.1","2240800","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788005","1.1.3.15.1","2090600","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788005","1.1.3.15.1","2061000","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788005","1.1.3.15.1","1974000","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788008","1.1.3.15.4","15.0","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788008","1.1.3.15.4","14.5","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788008","1.1.3.15.4","13.4","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788008","1.1.3.15.4","13.0","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788008","1.1.3.15.4","12.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788012","1.1.3.16.1","1665300","","","","0"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788012","1.1.3.16.1","1617700","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788012","1.1.3.16.1","1502600","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788012","1.1.3.16.1","1486000","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788012","1.1.3.16.1","1353700","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788015","1.1.3.16.4","10.9","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788015","1.1.3.16.4","10.5","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788015","1.1.3.16.4","9.6","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788015","1.1.3.16.4","9.4","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788015","1.1.3.16.4","8.4","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788187","1.2.1.15.1","92100","","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788187","1.2.1.15.1","81200","","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788187","1.2.1.15.1","77200","","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788187","1.2.1.15.1","70800","","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788187","1.2.1.15.1","56900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788190","1.2.1.15.4","4.1","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788190","1.2.1.15.4","3.6","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788190","1.2.1.15.4","3.5","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788190","1.2.1.15.4","3.2","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788190","1.2.1.15.4","2.5","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788194","1.2.1.16.1","37000","E","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788194","1.2.1.16.1","38700","E","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788194","1.2.1.16.1","25200","E","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788194","1.2.1.16.1","19300","E","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788194","1.2.1.16.1","10300","E","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788197","1.2.1.16.4","1.7","E","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788197","1.2.1.16.4","1.7","E","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788197","1.2.1.16.4","1.1","E","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788197","1.2.1.16.4","0.9","E","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788197","1.2.1.16.4","0.4","E","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","49200","E","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","45200","","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","30900","E","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","37700","E","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","29000","E","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","4.3","E","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","3.9","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","2.7","E","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","3.3","E","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","2.5","E","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","22100","E","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","22800","E","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","12100","E","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","7600","E","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","5800","E","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","1.9","E","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","2.0","E","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","1.1","E","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","0.7","E","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","0.5","E","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","43000","E","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","36100","","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","46300","E","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","33100","","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","27900","E","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","4.0","E","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","3.3","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","4.3","E","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","3.0","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","2.5","E","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","14900","E","","","0"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","15900","E","","","0"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","13100","E","","","0"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","11700","E","","","0"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","","F","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","1.4","E","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","1.5","E","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","1.2","E","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","1.1","E","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","","F","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788733","1.3.1.15.1","1789500","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788733","1.3.1.15.1","1712900","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788733","1.3.1.15.1","1567300","","","","0"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788733","1.3.1.15.1","1583000","","","","0"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788733","1.3.1.15.1","1445900","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788736","1.3.1.15.4","22.1","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788736","1.3.1.15.4","21.1","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788736","1.3.1.15.4","19.2","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788736","1.3.1.15.4","19.2","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788736","1.3.1.15.4","17.2","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788740","1.3.1.16.1","1097400","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788740","1.3.1.16.1","977600","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788740","1.3.1.16.1","923100","","","","0"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788740","1.3.1.16.1","887200","","","","0"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110788740","1.3.1.16.1","765400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788743","1.3.1.16.4","13.6","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788743","1.3.1.16.4","12.0","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788743","1.3.1.16.4","11.3","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788743","1.3.1.16.4","10.7","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110788743","1.3.1.16.4","9.1","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","1074300","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","1002700","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","940400","","","","0"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","969500","","","","0"
"2019","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","896400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788918","1.3.2.15.4","26.4","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788918","1.3.2.15.4","24.6","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788918","1.3.2.15.4","22.9","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788918","1.3.2.15.4","23.3","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788918","1.3.2.15.4","21.2","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","651400","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","575700","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","545200","","","","0"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","508800","","","","0"
"2019","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","478400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788925","1.3.2.16.4","16.0","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788925","1.3.2.16.4","14.1","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788925","1.3.2.16.4","13.3","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788925","1.3.2.16.4","12.2","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788925","1.3.2.16.4","11.3","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","715200","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","710200","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","626900","","","","0"
"2018","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","613500","","","","0"
"2019","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","549400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110789100","1.3.3.15.4","17.8","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110789100","1.3.3.15.4","17.6","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110789100","1.3.3.15.4","15.5","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110789100","1.3.3.15.4","15.0","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110789100","1.3.3.15.4","13.3","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110789104","1.3.3.16.1","446000","","","","0"
"2016","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110789104","1.3.3.16.1","401800","","","","0"
"2017","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110789104","1.3.3.16.1","377900","","","","0"
