"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666739","1.3.15.4","15.1","","","","1"
"2019","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666739","1.3.15.4","14.1","","","","1"
"2015","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666742","1.3.16.1","723700","","","","0"
"2016","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666742","1.3.16.1","691400","","","","0"
"2017","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666742","1.3.16.1","683200","","","","0"
"2018","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666742","1.3.16.1","661100","","","","0"
"2019","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666742","1.3.16.1","602000","","","","0"
"2015","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666745","1.3.16.4","11.7","","","","1"
"2016","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666745","1.3.16.4","11.3","","","","1"
"2017","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666745","1.3.16.4","11.1","","","","1"
"2018","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666745","1.3.16.4","10.6","","","","1"
"2019","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666745","1.3.16.4","9.5","","","","1"
"2015","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666892","1.4.15.1","905900","","","","0"
"2016","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666892","1.4.15.1","893900","","","","0"
"2017","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666892","1.4.15.1","874800","","","","0"
"2018","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666892","1.4.15.1","810000","","","","0"
"2019","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666892","1.4.15.1","831300","","","","0"
"2015","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666895","1.4.15.4","15.4","","","","1"
"2016","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666895","1.4.15.4","14.6","","","","1"
"2017","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666895","1.4.15.4","14.1","","","","1"
"2018","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666895","1.4.15.4","13.0","","","","1"
"2019","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666895","1.4.15.4","13.1","","","","1"
"2015","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666898","1.4.16.1","632900","","","","0"
"2016","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666898","1.4.16.1","622200","","","","0"
"2017","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666898","1.4.16.1","593700","","","","0"
"2018","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666898","1.4.16.1","534400","","","","0"
"2019","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666898","1.4.16.1","533900","","","","0"
"2015","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666901","1.4.16.4","10.8","","","","1"
"2016","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666901","1.4.16.4","10.2","","","","1"
"2017","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666901","1.4.16.4","9.6","","","","1"
"2018","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666901","1.4.16.4","8.6","","","","1"
"2019","Canada (excluding territories)","","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666901","1.4.16.4","8.4","","","","1"
"2015","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667048","1.5.15.1","908700","","","","0"
"2016","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667048","1.5.15.1","733300","","","","0"
"2017","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667048","1.5.15.1","732700","","","","0"
"2018","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667048","1.5.15.1","722600","","","","0"
"2019","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667048","1.5.15.1","684500","","","","0"
"2015","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667051","1.5.15.4","15.0","","","","1"
"2016","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667051","1.5.15.4","12.0","","","","1"
"2017","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667051","1.5.15.4","11.9","","","","1"
"2018","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667051","1.5.15.4","11.5","","","","1"
"2019","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667051","1.5.15.4","10.8","","","","1"
"2015","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667054","1.5.16.1","605400","","","","0"
"2016","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667054","1.5.16.1","452000","","","","0"
"2017","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667054","1.5.16.1","463800","","","","0"
"2018","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667054","1.5.16.1","433100","","","","0"
"2019","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667054","1.5.16.1","438600","","","","0"
"2015","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667057","1.5.16.4","10.0","","","","1"
"2016","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667057","1.5.16.4","7.4","","","","1"
"2017","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667057","1.5.16.4","7.5","","","","1"
"2018","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667057","1.5.16.4","6.9","","","","1"
"2019","Canada (excluding territories)","","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667057","1.5.16.4","6.9","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667204","1.6.15.1","456000","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667204","1.6.15.1","439500","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667204","1.6.15.1","437300","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667204","1.6.15.1","399300","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667204","1.6.15.1","394800","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667207","1.6.15.4","25.6","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667207","1.6.15.4","25.1","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667207","1.6.15.4","26.2","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667207","1.6.15.4","24.4","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667207","1.6.15.4","24.0","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111667210","1.6.16.1","392800","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111667210","1.6.16.1","369400","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111667210","1.6.16.1","366600","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111667210","1.6.16.1","334600","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111667210","1.6.16.1","329700","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111667213","1.6.16.4","22.0","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111667213","1.6.16.4","21.1","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111667213","1.6.16.4","21.9","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111667213","1.6.16.4","20.4","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111667213","1.6.16.4","20.1","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667360","1.7.15.1","1067400","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667360","1.7.15.1","1026400","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667360","1.7.15.1","985400","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667360","1.7.15.1","996800","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667360","1.7.15.1","919900","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667363","1.7.15.4","26.0","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667363","1.7.15.4","24.5","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667363","1.7.15.4","23.9","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667363","1.7.15.4","24.0","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667363","1.7.15.4","22.7","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111667366","1.7.16.1","831800","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111667366","1.7.16.1","823100","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111667366","1.7.16.1","768700","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111667366","1.7.16.1","743200","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111667366","1.7.16.1","698900","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111667369","1.7.16.4","20.3","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111667369","1.7.16.4","19.6","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111667369","1.7.16.4","18.6","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111667369","1.7.16.4","17.9","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111667369","1.7.16.4","17.2","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667516","1.8.15.1","3495800","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667516","1.8.15.1","3416600","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667516","1.8.15.1","3313300","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667516","1.8.15.1","3257900","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667516","1.8.15.1","3134800","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667519","1.8.15.4","15.3","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667519","1.8.15.4","14.7","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667519","1.8.15.4","14.0","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667519","1.8.15.4","13.5","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667519","1.8.15.4","12.7","","","","1"
"2015","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111667522","1.8.16.1","2321100","","","","0"
"2016","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111667522","1.8.16.1","2265500","","","","0"
"2017","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111667522","1.8.16.1","2238100","","","","0"
"2018","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111667522","1.8.16.1","2117600","","","","0"
"2019","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111667522","1.8.16.1","1973400","","","","0"
"2015","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111667525","1.8.16.4","10.1","","","","1"
"2016","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111667525","1.8.16.4","9.7","","","","1"
"2017","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111667525","1.8.16.4","9.5","","","","1"
"2018","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111667525","1.8.16.4","8.8","","","","1"
"2019","Canada (excluding territories)","","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111667525","1.8.16.4","8.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667686","2.1.15.1","29800","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667686","2.1.15.1","20700","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667686","2.1.15.1","26300","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667686","2.1.15.1","20300","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667686","2.1.15.1","30000","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667689","2.1.15.4","33.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667689","2.1.15.4","22.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667689","2.1.15.4","31.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667689","2.1.15.4","25.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667689","2.1.15.4","32.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667693","2.1.16.1","24900","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667693","2.1.16.1","16400","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667693","2.1.16.1","23600","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667693","2.1.16.1","15700","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667693","2.1.16.1","18400","","","","0"
